Trade #,Entry Time,Exit Time,Type,Strike,Entry Spot,Exit Spot,Option Buy Price (RS),Option Sell Price (RS),Qty,Trade PnL (RS),Return (%),Reason,Capital (RS)
66,2026-01-29 13:15,2026-01-29 14:15,CE,25300,25412.9,25422.2,223.65,229.66,65,390.65,2.69,TRAILING SL HIT (+9.3 Spot Pts),45290.65
67,2026-01-30 09:15,2026-01-30 10:15,PE,25400,25314.3,25282.1,194.68,214.16,65,1266.2,10.01,TRAILING SL HIT (+32.2 Spot Pts),46556.85
68,2026-01-30 13:15,2026-01-30 14:15,CE,25300,25352.45,25333.8,186.71,176.09,65,-690.3,-5.69,STOP LOSS HIT (-18.6 Spot Pts),45866.55
69,2026-02-03 09:15,2026-02-03 10:15,CE,25600,25671.0,25786.65,199.48,275.31,65,4928.95,38.01,TRAILING SL HIT (+115.7 Spot Pts),50795.5
70,2026-02-03 11:15,2026-02-03 12:15,CE,25700,25836.55,25803.6,241.45,220.13,65,-1385.8,-8.83,STOP LOSS HIT (-33.0 Spot Pts),49409.7
71,2026-02-03 14:15,2026-02-03 15:15,PE,25800,25717.85,25741.05,194.88,181.64,65,-860.6,-6.79,STOP LOSS HIT (-23.2 Spot Pts),48549.1
72,2026-02-04 09:15,2026-02-04 10:15,CE,25700,25782.3,25752.05,206.92,188.95,65,-1168.05,-8.68,STOP LOSS HIT (-30.2 Spot Pts),47381.05
73,2026-02-04 13:15,2026-02-04 14:15,CE,25700,25790.9,25783.3,212.2,207.53,65,-303.55,-2.2,STOP LOSS HIT (-7.6 Spot Pts),47077.5
74,2026-02-05 09:15,2026-02-05 10:15,PE,25800,25672.75,25646.95,222.22,238.78,65,1076.4,7.45,TRAILING SL HIT (+25.8 Spot Pts),48153.9
75,2026-02-05 13:15,2026-02-05 14:15,PE,25700,25596.95,25624.9,206.73,190.23,65,-1072.5,-7.98,STOP LOSS HIT (-28.0 Spot Pts),47081.4
76,2026-02-06 09:15,2026-02-06 10:15,PE,25600,25515.8,25527.15,194.94,188.36,65,-427.7,-3.38,STOP LOSS HIT (-11.3 Spot Pts),46653.7
77,2026-02-06 11:15,2026-02-06 12:15,CE,25500,25611.05,25579.35,223.66,203.9,65,-1284.4,-8.83,STOP LOSS HIT (-31.7 Spot Pts),45369.3
78,2026-02-06 12:15,2026-02-06 13:15,PE,25700,25561.45,25584.1,228.84,214.59,65,-926.25,-6.23,STOP LOSS HIT (-22.7 Spot Pts),44443.05
79,2026-02-06 14:15,2026-02-06 15:15,CE,25600,25698.5,25668.25,216.32,197.84,65,-1201.2,-8.54,STOP LOSS HIT (-30.2 Spot Pts),43241.85
80,2026-02-09 09:15,2026-02-09 10:15,CE,25700,25801.6,25835.05,218.87,240.46,65,1403.35,9.86,TRAILING SL HIT (+33.5 Spot Pts),44645.2
81,2026-02-09 14:15,2026-02-10 09:15,CE,25800,25866.3,25930.0,197.91,237.72,65,2587.65,20.12,TRAILING SL HIT (+63.7 Spot Pts),47232.85
82,2026-02-10 09:15,2026-02-10 10:15,CE,25800,25944.35,25943.55,247.24,246.7,65,-35.1,-0.22,STOP LOSS HIT (-0.8 Spot Pts),47197.75
83,2026-02-10 12:15,2026-02-10 13:15,CE,25900,25977.75,25947.25,205.38,187.43,65,-1166.75,-8.74,STOP LOSS HIT (-30.5 Spot Pts),46031.0
84,2026-02-10 13:15,2026-02-10 14:15,PE,26000,25918.7,25938.85,195.53,184.02,65,-748.15,-5.89,STOP LOSS HIT (-20.2 Spot Pts),45282.85
85,2026-02-11 12:15,2026-02-11 13:15,PE,26000,25923.75,25955.1,192.6,175.05,65,-1140.75,-9.11,STOP LOSS HIT (-31.3 Spot Pts),44142.1
86,2026-02-11 13:15,2026-02-12 09:15,CE,25900,25956.2,25935.75,192.6,180.91,65,-759.85,-6.07,STOP LOSS HIT (-20.4 Spot Pts),43382.25
87,2026-02-12 09:15,2026-02-12 10:15,PE,26000,25880.85,25878.15,218.26,219.94,65,109.2,0.77,TRAILING SL HIT (+2.7 Spot Pts),43491.45
88,2026-02-12 11:15,2026-02-12 13:15,PE,25900,25828.9,25840.85,189.08,182.33,65,-438.75,-3.57,STOP LOSS HIT (-11.9 Spot Pts),43052.7
89,2026-02-12 13:15,2026-02-12 14:15,PE,25900,25817.55,25787.4,195.63,213.67,65,1172.6,9.22,TRAILING SL HIT (+30.2 Spot Pts),44225.3
90,2026-02-13 09:15,2026-02-13 10:15,PE,25600,25531.75,25548.55,185.73,176.32,65,-611.65,-5.07,STOP LOSS HIT (-16.8 Spot Pts),43613.65
91,2026-02-13 14:15,2026-02-13 15:15,PE,25600,25477.2,25480.6,218.32,216.2,65,-137.8,-0.97,STOP LOSS HIT (-3.4 Spot Pts),43475.85
92,2026-02-16 09:15,2026-02-16 10:15,CE,25500,25551.45,25526.15,187.37,173.08,65,-928.85,-7.63,STOP LOSS HIT (-25.3 Spot Pts),42547.0
93,2026-02-16 12:15,2026-02-16 13:15,CE,25500,25571.35,25558.9,199.08,191.71,65,-479.05,-3.7,STOP LOSS HIT (-12.4 Spot Pts),42067.95
94,2026-02-16 14:15,2026-02-17 09:15,CE,25600,25686.75,25657.75,209.03,191.65,65,-1129.7,-8.31,STOP LOSS HIT (-29.0 Spot Pts),40938.25
95,2026-02-17 13:15,2026-02-17 14:15,PE,25800,25670.95,25697.6,223.35,206.9,65,-1069.25,-7.37,STOP LOSS HIT (-26.7 Spot Pts),39869.0
96,2026-02-18 09:15,2026-02-18 10:15,PE,25800,25661.95,25680.9,229.07,217.12,65,-776.75,-5.22,STOP LOSS HIT (-19.0 Spot Pts),39092.25
97,2026-02-18 11:15,2026-02-18 12:15,CE,25600,25709.85,25707.05,223.49,221.71,65,-115.7,-0.8,STOP LOSS HIT (-2.8 Spot Pts),38976.55
98,2026-02-18 12:15,2026-02-18 13:15,CE,25600,25731.5,25722.35,237.53,231.54,65,-389.35,-2.52,STOP LOSS HIT (-9.2 Spot Pts),38587.2
99,2026-02-18 13:15,2026-02-18 14:15,CE,25700,25756.8,25792.15,191.71,212.97,65,1381.9,11.09,TRAILING SL HIT (+35.3 Spot Pts),39969.1
100,2026-02-18 14:15,2026-02-19 09:15,CE,25700,25821.95,25844.6,231.87,246.82,65,971.75,6.45,TRAILING SL HIT (+22.7 Spot Pts),40940.85
101,2026-02-19 09:15,2026-02-19 10:15,PE,25900,25756.45,25743.75,233.14,241.41,65,537.55,3.55,TRAILING SL HIT (+12.7 Spot Pts),41478.4
102,2026-02-19 10:15,2026-02-19 11:15,PE,25800,25715.8,25636.0,196.08,246.0,65,3244.8,25.46,TRAILING SL HIT (+79.8 Spot Pts),44723.2
103,2026-02-19 11:15,2026-02-19 12:15,PE,25700,25603.5,25603.2,202.79,202.97,65,11.7,0.09,TRAILING SL HIT (+0.3 Spot Pts),44734.9
104,2026-02-19 14:15,2026-02-19 15:15,PE,25500,25447.6,25425.5,176.27,188.74,65,810.55,7.07,TRAILING SL HIT (+22.1 Spot Pts),45545.45
105,2026-02-20 09:15,2026-02-20 10:15,CE,25400,25480.45,25571.0,203.96,263.16,65,3848.0,29.03,TRAILING SL HIT (+90.6 Spot Pts),49393.45
